class,feature_2,feature_3,feature_4,feature_5,feature_7,feature_9,feature_11,feature_12,feature_13,feature_14,feature_16,feature_17,feature_18,feature_19,feature_20,feature_22,"feature_8,feature_15","feature_21,feature_10","feature_1,feature_6"
p,* h ,a*,@v,l,h,&a,e,m*,e,u,#t,i,E@,u,e&,#u,,"d,w  @","#b,e"
p,m,#a, V @,& l ,*f,a,*e,u,E,u,t,&i,E, u &,e,u&,"@c,i","d,w*","&b,e"
e,&m,,,l,#H,a,e,&t,e,k@,t,j,d,#m,h,#U,"o,j  ",,"D,O"
p,c@,d,v  ,#l,f,?#,&q,*a,e&,,t,,e,u#,J  ,u,"o,j#",,
p,D,,,l,f,?,,*a,e,*k,,,,t,@ h ,u,"&o,j","t,c&","t,e"
e,d,a*,t,l,J*,c&,q#,,#e,m,t,j,d,t,E#,@u,"o,j","@t,c",
p,m,a,v,l,@H,A&,q,&b,e,k,#t,#i,e@,u@,&e,,"c,i","u,w#","b,e"
e,m,a,t&,,p,c,*E,i*,e,M,t  ,,@d,#t,,*u,"o,j#","t,c&","D,E*"
e,,#a,@v,,f*,A#,q@,d,,k,t,j,&d,,h,@u,"& O,J ","m,u&","&d,o"
e,m,#a,@t,,,c@,&e,u#,e,&m,t*,#j,D,t,e,u,"o,e","T,C&","d,e"
e,M,a@,t*,l,p@,#c,*e,i,#e,M,t&, j *,d,t&,e@,u*,"o,j"," t,c ","i,e#"
e,d,,v@,l*,h,a,e,,e,k&,t,#j,d@,m,h#,u,"&o,j","m,u","i,o@"
e,M&,d@,v,l,h,c*,#e,I&,E#,n,,*j,d,t,e,u*,"c,j","@t,u","i,e&"
p,h,a,v&,l@,*f,,Q*,m,e#,u,t,i,e,&a,E,U,"c,i&","u,w","b,e"
p,h,a,@V,L,H,a,e,u,e,K,t,i,e,U,e,u,"@c,i",,"b,e"
p,h#,a  ,V,l*,f, a ,,&u,e,m,,&i,#e,u,h,u,"&c,i","a,w","b,e"
p,,#a,#V,,h@,@a,E,,e*,u@,t,i*,E,u,@ e ,@u,"c,i*","a,w","b,e&"
p,C,d,v*,#l,,?,q,a,e#,w  ,,@j,e,t@,@j,u,"o,j*","u,c@","t,e*"
e,C*,a,V,&l  ,@ f ,a,q&,t@,E,K,T,J,d,*m,h,*U,"o,j","u,u","i,o"
e,# t ,a@,t,,j,c,*q,D,E,M,t,,d,t&, j ,u,"@o,j","t,c","i,e"
e,*d  ,a*,V,l,h,a*,&q,d  ,e,,&T,j&,D,t,h&,u,"O,J#","T,U","i,o*"
e,C,A,*V,,#f,,# q ,t,e,K,t*,j#,d,&t  ,@e,u,"&o,j","t,u*","i,o"
e,m,,v,l#,*h,a,e,n,# e ,*k,t,*j,d,u,h,&u,"O,J","M,U@","i,o@"
p,m,a,@v,l&,*f,a,e&,b&,E,k*,@t,i,@e,a,e@,u@,"C,I#","d,w","b,e"
e,,d,T,,&f,a,q,d,e&,k,@T,j,,t&,j,u@,"@o,j",,"d,o"
e,t#,a,v  &,*L,d,,, d ,e#,*y,#t,,p&,t,j,*U,"&c,j","t,u  &","D,O"
e,&C,a,v,l,#H,*a,q#,n#,e,K,t#,j,D,*u,,u,"&o,j","m,u","#d,o"
e,c,a&,v&,l,,&a,#q,n,e,#k,t&,&j,D,t#,,U,"o,j#","&u,u","#i,o"
e,M,a,V*,*l,@h,a&,e,d,E@,k,t*,,d,*t,*h,u,,"*u,u","d,o*"
p,&c,d#,v,L&,*f,*?,i#,,&e,u, t ,@j,e,u,,u,"*O,J",,"T,E"
p,m,a,#V,l,h,a,*e,m#,e,&u,t,#I,e,D,& e ,u,"c,i","@d,w","b,e"
p,d&,*d,V,l,f#,,e,t@,e&,m,t,j,,,@h,u,"c,j","t,u&","i,o"
p,t*,,v,l,f,a,q,#t,,,T*,j,,#T,j,u,"*O,E","*T,U","b,o@"
p,d,a,,d,V@,#v, i ,#t,&e,k,#t,h,y,#v,,u,"*C,I","#V,D","*t,e"
e,m,,t@,o,*j,,*i,t#,E,&m,t,@i,d,&T,*J,u," c,j ","T,U#"," t,e "
e,t,a,t,l#,p,c#,Q,#d,e,m*,t,,d,,@e,*u,"&o,e","t,c","i,e@"
e,m,*A,t,o  ,j,*?  ,,u#,#e,M,,j,&d,T@,e,u,"c,i*","t,u  ","t,e"
p,#T,*D,#v,l*,&j,*c,q,D,@e,&m,t,j,u,t,,u*,"c,j  ","t,u","i,o*"
p,c,,v&,L@,f,,q,a,e,*k,T, i ,&j,u, j ,u,"o,j","t,c#",
e,*m,a*,t#,@l,p,c,e*,b#,e,@M,,e,d,&t,e,u@,"o,j#","t,c@","d,e"
p,V,a#,v,D@,v@,,i,t,p#,k#,,*h,@y,v*,H,#U,"#c,i","#V,D","t,e"
e,d,a@,,l,@f,?,&a,d,p*,w,*L,#j,d@,#l,j,u,"c,j","L,U","h,e@"
e,d,a,,l#,@j,c, q ,@i,e@,,t,*j,&d,t,j,u,"@O,E","*t,c","&i,e"
p,d,#d,v,,f,?&,Q,&a,,W#,#t,&j,h&,,h&,u,"O,I","t,c&","@t,e"
e,m@,&a,v&,,f,,&e  ,u,e@,#k,t,j  #,D*,T,,u,"o,j","u,u","i,o*"
e,&c,a,v,L&,#f,a,e@,u,E*,k,@t,j#,@d,u&,@e,,"o,j","M,U","&D,O"
p,m@,a#,v,l,h&,a,E,u,e&,U,@t,i#,e,u,e@,u,"c,i","D,W@","&b,e"
p,U@,d#,v,l,@f,a*,q,n*,e,k&,t#,#j,v,t,@j,U&,"c,j","T,U","#i,e"
p,@m,d,v,l,,*A,q,@u,#e,k*,#t,j#,,t&,,@u,"*C,J","t,u","D,E"
e,*c,a*,#v,l@,@h,a&,e,d,,k,T,J,d  ,u,h,u,"*o,j","M,U","@i,o"
e,d  &,*a,@v,@l,f,*?,I#,&h,@p,w,l*,j,d,l,j,#u,"c,j","&l,u","a,e*"
p, m ,A*,@v  ,l,f,,@ e ,m,e#,u,&t,,e,a,e#,U@,"C,I","#D,W","B,E"
e,#m,A,&v,,h*,a*,*e,&d,e*,K,#t,* J ,D,u#,,u*,"o,j",,"i,o*"
e,m,a#,v&,*l,H,a&,q&,d,,k*,T,j@,d&, u ,e,u#,"o,j",,"i,o"
e,#t,&a,v#,,d@,v,a,@m,E,,t*,J,p  @,t@,h&,u,"c,j","t,u","*d,o"
e,c,#a  ,v@,l,,a#,q,d*,e@,#k,t@,#j,*d,,*e,U,"o,j","m,u","d,o#"
e,h&,A*,v&,@ L ,D,v,a,m#,e&,m@,,&j,w&, t ,j@,u,"&c,j","t,u",
e,#m,a,,o,h@,a,&e  ,&t,,u*,t,j#,d#,t,#h,U&,"c,j#",,"t,o"
p,d,d#,v*,L*,f,c,e@,@d,E,,t,j@,u@,t,h,u,"c,j",,"#d,o"
p,@d,#d,v,l*,f,?,,A,e@,k,&t,#j,j,&t,h,#u,"o,j","t,c","#T,E"
e,d,a#,t,l#,,C,@ E ,D&,e*,m,t,j*,d#,&t,j,u#,,"t,c@","I,E#"
e,h&,A@,v,l,#j,Z@,#e,u,e,m,t,h#,P&,t, h ,,"C,J","#t,u","d,o"
e,@C,a@,v*,,H@,,@q,n,@e,k*,t#,j,&d,,e@,u#,"o,j","m,u","d,o@"
e,t,a,t,l#,J,c*,e,u,E@, m ,t,j@,d  ,@t,E,U@,"*o,j","t,c","@d,e"
p,,d,V,&l,#f,A,,@u,e,K,t@,#j,*v,&t,e@,U@,"c,j","T,U#","D,E"
p,d,d@,v#,l,,*?,,,e,w,&t,I,j,u&,h*,&u,"o,i","t,c@",
e,#m,A,v#,*l,f*,a,e,t#,e,@k,t,j  *,d@,*t,*h,u,"&o,j","u,u","@i,o"
e,t,d,@t,@l,,a,,u&,e,K,t,,@p,t#,e&,u,"o,j#","t,u#","*N,O"
p,d,@a,,d,v*,#V,q,h&,P*,k*,T,h&,y*,@v,h,u,"c,i","v,d","t,e"
p,,D, v @,&L,f,*?,&q,A@,e,&w,t#,j&,e*,T,,u&,"o,j@","u,c","t,e*"
p,&m,a,#v,,f,A,q,b,e*,*u,t,i,e,a,,u#,"c,i","a,w","b,e"
e,d,@a,v,L#,f,?,q*,D,p*,w,l&,J@,d,,j,U,"@c,j","l,u","a,e"
e,t,a,t#,,j  ,C,q,d*,e@,m&,t#,J,#d,t,e,u*,"o,e","t,c","i,e&"
e,t,@a,@t,*l,,,q,i*,E,@m,#t,@e,, t @,e,u#,"o,e#","T,C#",
p,c#,d*,,L,f@,?,i,&a,*E,u#, t ,@I,j#,T,&j,u*,"o,j","t,c",
p,,,v,,,?@,e*,,e,w@,,&j,H,T,j,u,"o,i","#u,c","t,e"
p,d  ,#d,v, l #,f&,?  *,@q,,E#,*w,t,I,j#,t  ,j#,,"o,i"," U,C ","t,e"
e,t,@a,v@,l,&d,,#q,t&,@e,y,t@,j,p,t*, h *,u,"c,j#","t,u&",
e,d&,a@,v  *,L,f,a,q,u,@E,k,t,j*,d,t&,e,&u," o,j ","T,U","&d,o"
e,d#,#a,v,l#,j@,*z,q#,t&,e,u#,T,#H,,t,h*,u*,"*c,j","t,u","#i,o"
e,t  ,,&v,L&,#d,,q  ,m,e,m&,t&,j,*p,T,,,"c,j",,"i,o"
e,M,@a,#v,,&h,,E,n@,#e,k,t@,j*,d,,h,u&,"&o,j","m,u","d,o"
e,t*,a,@t,l*,j,c,q,@d,*e,&m,t  ,J,d,,J,@u,"O,E&","t,c","D,E@"
p,c,d&,v,l,, ? @,e,,e,U,t,i#,e,u*,j,u,"*o,i",,"t,e"
e,c,@a,*v,,h,*a,e,t  ,e#,,t*,J#, d @,t&,,@u,"o,j","U,U","d,o"
e,M,,v#,l,h,a&,q&,U#,E,k,t&,j#,d,m,H,u@,"O,J","#T,U","d,o"
e,m,A,v@,l#,f,a*,e,d@,,k,#t,j,&d,t*,*e,#u,"o,j","T,U","i,o"
e,*c,a,v*,,f,a,Q,t,e,k,*t,j@,d,m*,e*,,"&o,j","U,U",
p,,a*,v,l@,f,#a,e,m&,#e,#k,t,&i,e*, a *,h@,#u,"#c,i","A,W","@b,e"
e,c&,a,&v,l,h,*a  ,*e,t@,&e,,&t,j,#d,t,,u,"o,j","M,U","d,o#"
p,H,a,v,l,h, a #,q#, m @,E,&k,t@,&i,e#,D@,#h,u,,"d,w","b,e#"
e,a*,a,@v,o,v,?&,q,t&,@e,t&,t,J&,d,c,,u,"c,j","c,c*","t,o@"
e,c,a,&v,L,f@,a,,d&,#e,k,T,,d,&u,h@,u@,"o,j&",,
e,*m,a,v,*l,#h,a,e,d,e,k,@T,#j,#d,m#,,u@,"O,J  ","t,u*","#d,o"
e,d,#a,v&,l,j,z,,d,e#, m ,t,h,w,t#,h,u  ,"c,j*","t,u@","@i,o"
e,C@, a ,v@,#o,v*,,e,t&,#e,@T,T,J,d&,c#,H,u,"@C,J"," t,c ","t,o"
e,m*,*a,t  ,l&,,,e,I,e,M&,t, e #,&d,@t,j,u,"o,j","&T,C",
p,c,d,v@,l#,*f,#?,e*,a,e  ,w,t,i@,@E,,*h,,"@o,j","u,c","t,e"
e,d,a@,v#,l,,Z,q,d&,@E, m ,t,h*,w,t,h,#U,"c,j&","t,u",
p,&d,d, v @,l,@f,?,q,a,@e,u,*t,i,@h,*T,, u ,"o,j*","u,c","#t,e"
e,D,,v  ,L@,#h,A,q,#t,E@,k,t@,j,d,t&,h,#u,"o,j","u,u&","i,o"
e,m,*a,v,@l,h*,a,q&,t*,e  ,k@,*t,j*,,u,E#,u,"*o,j","u,u*","i,o"
p,d,d#,,l,f,?,,@A,e,k,t,j*,h,@t,j&,&u,"*o,i","t,c","*t,e"
p,d&,@d,*v  ,l#,f&,?&,#q,a,@e, u #,t,j,j,u,,u&,"o,j","t,c","*t,e"
p,d,d,&V,@l,,?*,q@,a@,&e,*W,t,J,e,,j,u#,"o,i","u,c","t,e@"
e, t #,a,,l,d,,q,d#,@e,y,t,j,w#,t,j@,u,"@c,j","t,u#","I,O&"
p,d@,d,#v,&L,@f,?,,a&,,u*,t,#j,E,u,h,&u,,"u,c","t,e"
p,,d,V,* l ,&f,?,q*,a,e,@u,t#,*i,h*,t*,h,u,"o,j","#u,c","t,e"
e,z,d,v@,l*,h,?,e#,u&,E*,K,t,&e,D,T,,@U,"c,j","t,e","b,e"
e,h#,d*,*t,#l,F,a,q,*d,e,#k,t,j,p,T,,,"o,j","*t,u","D,O"
e,c@,a&,v,*l,h,*a,e,t,e,*K,t,*j,d,m,e,u,"O,J","t,u","i,o"
p,@d,d,@v,l#,f,?,q,a,e,u,@T,J,h,t*,j,u@,"o,i  ",,"T,E  "
e,d,@a,t,l,j,*c,e,*i,@e,m&,*T,e,,t,j,u,"o,e*","t,c","D,E"
p,h,A,V@,l,F,@a,# e ,*b,e,m,t,i@,,A,h,u*,"*c,i","u,w","b,e&"
p,m,d,v*,l,f,a,*q,,,k&,*t,&j,,&t,j&,*u,"@c,j","t,u","d,e#"
e,c,a,v,@l,,a  @,e,d,e,&k,@t,&j,d,#u,E&,u,"o,j@","t,u","d,o"
p,d,#d,#v,l@,f#,?,i#,a,&e,@k,t  ,@i,h,t,,u,"o,j*","u,c","t,e*"
p,h@,*a,#v,L@,h,a#,q,u,e,u&,t,i#,e,u,#E,u#,"*c,i","u,w#","b,e"
e,*d,*a,v,l#,f,?,q,h,p,w,D#,J#,d,L,j,u,"c,j@","l,u&","l,e*"
e,d@,*a,*t,L@,j@,c*,Q&,b,,#m,#t,#j,&d,t#,,u,"o,e#","t,c","&D,E"
e,m,,,l,f@,*A,E,t,e&,*k,t,j,d,m,e,,"o,j*","#u,u","&i,o"
p,d&,&d,&v,l,F,@?,*e,A,,u&,T,J,e,u@,j,,"O,I#","*t,c","t,e"
p,D@,D,v@,*L,*F,?&,e,a,e,w,t#,i@,j,U,,u,"@O,I",,"T,E  "
e,#M,*a,v,,f,*a,,&u,e,k,@t,J*,*D  ,t,e,,"&o,j","u,u",
p,#t,@d,T,l@,v*,a,*v,T,e,@w,@t,j,D,#t,h,@u,"@C,J","t,u",
p,&m,a,v,l,f*,a,@e,b#,&e,m,t,&i,e&,A,e,U#,,"u,w","b,e"
e,t,a,T,o&,,*?,&a,t,*e,m@,@t  ,#j,d&,t*,e#,u,"c,i*","t,u","t,e*"
e,m,d@,V,l#,f,c@,j,u,#e,n*,T&,j,*d,t,e#,#u  ,"c,j","t,u","i,e#"
p,m@,D,v,,,a,Q,d, e ,k,,@j,v,t,e,u,,"t,u&","I,E"
e,d,a#,v,l,h,a*,@e,d,,k,t,j,&D,u,@h,U#,"o,j&","T,U",
p,C,d,v,L@,f@,*?,i@, a ,&e,U&,*t,*j,h,@u,,u#,"o,j","u,c","T,E"
p,h#,a,v*,l,h@,a,q,u,E,u,&t,i,e,u,h,*u,"*c,i","d,w","b,e"
e,@t,,*v,l*,j,v,a,m,*e,m,,j,,,*j,u*,"c,j","T,U","*d,o"
e,,a,&v,,h,z,q,*D,e,m,t,H#,p,@t,#h,&u  ,"c,j","t,u","d,o"
e,d,a,t,l#,@p,,@Q,b,,m,t,e,d#,t#,*J,,"o,j",,"@d,e"
p,@c,@d,#v,l*,f*,?,i,a@,,k,t#,i,#J,@ t ,h,@u,"o,j","t,c","t,e@"
p,H  ,a,v,#l,h,a,, b ,e,m,t#,I,e,d,#E,u,"&c,i","a,w","&b,e"
p,@c,*d,v,l,f  &,?,q,@a,e,,t,J,h,,,u,,,"t,e"
e,m#,a,v,@L,f&, a ,*q,, E ,k,&t,j&,d, t ,e,u,,"U,U  ","i,o*"
e,h,a,&V,,#j,V#,,m,,m#,@T,j,w@,*t,j#,,"c,j","t,u&","D,O"
e,@m,a@,t*,l,,@C,q,#b,&E,m,#t,&j,&d,t,*j,u#,,"t,c","@d,e"
e,t,a,,l,j,&c,e*,#u,E*,,t*,j*,d,T,e#,,"&o,e  ","* t,c ","d,e#"
e,t,d&,t&,l,f,a,q#,&d,&e,k,t,,w*,,j,u*,"@o,j","T,U&","&n,o"
p,m,,v,l#,*f,a,q,&u,e#,m,t,,e,u,e*,U,"c,i","d,w&","b,e"
p,m,a&,,l,h,a,@q,*B,@e,&m,t@,i#,e&,d*,e,&u,"c,i","u,w","b,e&"
e,d,a*,V&,&l,*f,@?,,@ h ,p&,W,*l,&j,D,,#j,u,"#c,j","&l,u","L,E"
e,t,a#,,l,j,&v,@a,i,#e,*M,&t,&j,w,,h@,u,"c,j","t,u","d,o"
e,,&A,,&l,@h,a,@e,u,@E,K,t@,j,d,,@e,@u,"o,j","&u,u","i,o"
p,#t,*d,v*,l,f,c,#e,*U,e,m,t,J,,T@,@j,u,,"t,u&","i,o@"
e,d,a,t,#L,j*,c,q,b,e,m,#t,J*,,@T,&e,u,"o,e","t,c","i,e"
p,c#,d@,v,l,f*,,#q, a ,e,U,t,j&,j,,,,"o,j","t,c  ","t,e"
e,m,a@,t,l*,,c@,e@,u,@e,m,t,e,d,*t,e#,u,"o,j","t,c  ","@d,e"
p,,,V,l,f&,?,q,*A,@e,*w,@t, j #,*e,t*,h  ,u,"*o,i","*t,c","T,E"
e,m&,a,v,,#f,a&,,D,e,@k,T,*j,d&,t,e,u,"o,j","t,u#","#d,o"
p,M,d*,t,l,J  ,a#,q,n,e,K,T*,j#,,T,#j,u,"# c,j ","*t,u","i,e*"
p,h,a,v,&l,f,a,@e,u,e,u,T,i,e,u,&H,u,"&c,i","d,w","b,e"
e,m@,a,T,l,p,c,e,u,,M,,e*,#d,#t,e,,"#o,j","t,c","i,e"
p,c,&d,v&,,f#,?,q,*a,E  *,k,*t,j&,e,@t,h&,u*,"o,i@","u,c*","T,E"
p,U,a,,,F,,e,#m,*e,&y,,j,d@,t,h,u&,"&C,J","t,u","@z,o"
p,M,a,v#,,h, a ,q  ,&u,E,u,t, i ,e#,,H,u,"&c,i",,"&b,e"
e,h@,@A,v, l @,,z,*e,u,e,@m,,h,W&,T#,,,"#C,J","t,u",
p,d,a,v&,d,,,i,t*, P ,k,t&,,Y,v,h,U,"C,I","v,d","t,e"
e,m,A@,v,l, H ,A@,e,d,E,k,t,#j,D#,m&,&h,u,"&o,j","t,u","d,o"
p,#m,a*,@v,l,f*,a,q, m #,e,u@,T&,#i,e,a,,,,"a,w",
e,@c,a,v,l#,#H,a,,n,@e, k ,#t,#j,d,u,@h,u,"o,j","U,U#","D,O"
p,c,D,v,l,f@,?,q,a,E,w,t, i ,j*,u,h  ,u  ,"#o,j",,"t,e#"
e,@h,a,v*,,#H,z&,e,u*,,m&,t  @,h,,t,h,u,"c,j@","#t,u","I,O&"
p,m,a@,v,#l,f,a,q#,b,e,K,t,i&,e@,&a,@h,,"&c,i","&d,w","b,e*"
p,@m,#a,,l,h  ,a#,@e,M,e&,k,t,i,e,U@,,U,"*c,i","*u,w","&b,e"
e,d,a,v&,,@J,*z,Q#,u,e,,t,*h,p,&t,h,u,"C,J@","t,u*","d,o"
e,m,a,v,l,#f,a,e@,n,#e,k  ,t@,*j,#D,M,e,*u,"o,j#","u,u*","D,O"
p,c#,*d,v*,L,,?,I,a,e,w*,t,,j,,h#,#u,"o,i","# u,c ","t,e"
e,d,a,v*,,h@,a#,#q,&t,&e  ,k,,J,d,u*,h,u,"*o,j","u,u","i,o  "
e,&t,a,v,l,*d,*v,Q,t*,e,M,t,,*w,t,&j,u&,"c,j","t,u#","i,o#"
e,*c,a*,V&,,h,#a,e,d,e,k,&t,j&,@d,&t,e,,,"*u,u","i,o  "
p,,a*,v&,L, h ,A&,q*, M *,e#,m#, t ,i,e,&d,e,*u,"#C,I","u,w","b,e"
p, d #,,v,l@,f,?#,q,@a,E@,k,t@,j,,t#,h,u,"o,i","t,c","t,e"
p,h,*A,,l&,h,a#,e,#u,E,@m,&t,,e*,#a,e,u,"&c,i",,"@b,e"
e,,a,v,l,h&,,e,t#,&e,#k,t*,j&,d,&t,*e,u,,"u,u*","*i,o"
e,m,a,t&,L,&j,C,e,@B,e,,,e*,*d,t*,*e,*u," o,j &","*t,c","i,e@"
p,d#,d&,,*l,,#?,#i,a,e@,u,t,*J,e,t,j,* u ,"o,i@","u,c",
e,d@,a&,@v,# L ,J,@z,Q&,#d,&e,u&,&t,h,w*,*t,H@,u,"c,j","@t,u","d,o*"
p,C,#d  ,v,l,f,*?,,a, e ,k,t&,i*,@h,*u,j#,U&,"o,i*","u,c*","T,E"
e,u,a&,v#,o*,v,?#,e@,c,&E,t*,*t,@ J ,@d,,H#,U&,"c,j","&C,C","&t,o"
p,C, d #,v,l,f,?,@q,@a,e@,U,T,,#h,*U,,,"@o,j","t,c","t,e"
e,d  ,a,*v,l,,,e,t@,e,k*,t,,&d,#u,h#,*u,"o,j*","m,u","d,o&"
e,t,,,l,p,*c,&q,u,e,,*t,,d@,*t,#J,,"#o,e","t,c","i,e"
p,&d,d#,v,&l,,?#,#i,a*,e*,u,& t ,&i,,t,,,"&o,j","u,c",
e,h,D,t,l,f,a@,,t, e ,k,t@,j,@p,#t,*e,u&,,"t,u","d,o"
e,,A&,t,#l,J,c,e@,b,&e,M,t,j#,d,&t,J,u,"o,e","*t,c","i,e"
p,H,a,,@L,h,#A,e,b,e#,u@,t&,,*E,u,&e,,"&c,i","&d,w","b,e"
p,H,&A,v,#L,f,a#,e#,#m,e,@k,*t,*i,e,#d,e,u*,"*c,i","d,w","&b,e"
e,d,a#,t&,&l,j*,c  *,&e,i,e,,t,e#,d,T,e&,#u,"@o,j","t,c","i,e"
p,@h,#a,v,L#,f,a*,q,&b,E,m*,&t,I&,E,a&,h,&u,"C,I  #","*a,w","&b,e"
e,C#,a,@v,&L,#H,*a,Q,u@,#e,k,t,j,d,u,h,u,"o,j","m,u","d,o"
p,c*,d*,v,l  ,F, ? ,i,*a,e,,&t,i,E,u,#h,u,"#o,i","u,c#","t,e"
p,a,a,,@l,f,a,q  ,t,E,m,t*,#e,e,,&j,&u,"o,e*","t,u","b,o"
e,c&,a#,V*,l,h*,a,&q,n, e ,k,t,,#d,u,h,u,"&o,j",,"d,o"
p,d,&d,V,,*f,?,,A#,#e,U*,#T,*I,*h,*t,h&,&u,"#o,i","u,c","t,e"
p,H,,v@,l,F,&a,*e  ,@M,e@,@M,t&,i,e,D,,u#,"c,i",,"b,e*"
p,t,d,*v,&l,f,c,&e,@I,e,*m,T,j&,u,t,h#,u,"c,j  ","t,u","d,o"
e,#c,a,V,l, f #,*a,q,@d,e*,k#,T,,d  ,t@,,U,"o,j@","U,U","i,o"
p,c,d,v,l,,,e,*a,e,k,T&,i,j  ,*t,@j,u,"o,i","u,c","&t,e"
p,c&,D,V,*L,f*,?@,&q,a, e ,&u,t,,@h,t,,u#,"@o,j","u,c","t,e&"
p,d,d,,l,*f,?,i, a ,e@,&W,*t,i,e,u  ,*h,u,"O,J","u,c","t,e"
p,m,,,,H,a,, b @,E&,&u,t*,i*,e&,,h,u,"@c,i","A,W&","@b,e"
e,m*,a  ,t,,d,@?,A,M,#e,,t&,#i,d,,J&,u  ,"c,i","#t,u",
e,m,a@,t*,O,#j,?,a#,u,e,m#,t,#j,d,t,e,@u,"c,j",,"&T,E"
p,h,A,v,#l,,,q,u,e,,t*,i,e&,,h,*u,"c,i  ",,"b,e&"
p,c,#d,v,l@,F,?,e  ,#a,e,W,t,#i,j,u,*h,u,,"t,c",
e,@m,A,*v,L,*F,A&,q, d &,e#,k,t@,j  ,d,m@,E,@U,"o,j#","u,u","D,O"
e,#t,A,t*,&o,&d,?,i,,e,*m,t@,j,d*,t&,e,u,"C,J","t,u  @","t,e"
p,,d, v ,l,f&,*?,#e,A&,e,,@T,@j,H,,#j,u,,"u,c&","t,e@"
p,m,a,#v, L ,f#,&a,e*,B,e#,u,t,i,e,#A,e,#u,"C,I"," a,w ","b,e"
e,,a,v,*l,,?,&I,d  &,p,w#,d&,j,#d,L,j,u,"c,j","l,u&","d,e*"
e,,A&,t,*l,j*,c,q,#u,&e,m&,t,E,d,*t,j,*u,"o,e","t,c",
e,,*a,v*,l@,f,a,e*,@t,E,k,t,j,d,m*,h,U,"o,j#",,"d,o"
e,&d,a,,@o,v#,?,i#,t#,e,t,#t,j,d#,c,H,u,"#c,j","#c,c","#t,o"
p,c@,d,v,&l,#f,?,Q,A,@e,k@,T,i,h,U,j&,u,"&o,j","u,c","T,E"
p,@m,a,v,l,F&,a,e,u,#e,u&,T*,#I,#e,#D,h,#u,"c,i#","*A,W","# b,e "
e,@m,,t,l*,J@,c#,q#, b #,e,M,t,#e  ,d,t*,J*,u,"@o,j","&t,c",
p,d@,#d,v,,f*,?#,Q,a,e  ,k,T@,i,h&,t,H,,"o,i  ","u,c&"," t,e "
p,m@,a,v,@l,,,q,b,E,,t,J&,e*,@t,j,u,"o,j","#t,u","b,o"
p,a@,&A,@v,L,&j,#A,q#,,e,n,t#,e,#e,t,j,U,"&o,e","T,U","b,o"
p,t,D,,l,j,&a,@q,@d,e,#k,t,j,,t,,,"#c,j","t,u@","i,e*"
e,c@,a,*V  ,l@,f,&a,e#,@n,*e,@k,t,j#,d,&m,h,u#,"o,j","m,u","d,o@"
e,d,a,v,l,f,a*,q#,n,e,*k,t,j#,,u#,e,u,"&o,j","#m,u","d,o"
e,d#,,v*,l,v,?,Q,h,p&,w,#L,j,d,*l,&J,u,"C,J","l,u",
e,d,&a,v,,h,a,e@,d,e@,k@,t,*j, d ,m,e,U,"o,j","m,u&","i,o"
e,d,@a,t#,l,&p,c,q,b  ,,M*,,#j,D,,*j,u*,"o,j*","t,c","d,e@"
e,d,a*,v*,l#,h,*a, e ,u,*E,k,t*,,d,m,e,u,,,"d,o"
p,d,,&V,l#,F,?,i*,a,e,&w,,#i,j*,u,j,u,"o,j","u,c","t,e&"
e,@t,d,,l#,f,a&,e,d,E@,k,t,@J,*P,t@,e, u ,"o,j","@T,U","n,o@"
